"";"CTR1_24h";"CTR2_24h";"CTR3_24h";"CTR4_24h";"EV1_24h";"EV2_24h";"EV3_24h";"EV4_24h"
"ENSG00000224459|SLC25A34-AS1";0;0;2;0;0;0;0;0
"ENSG00000162460|TMEM82";0;0;0;0;0;0;0;0
"ENSG00000233954|UQCRHL";211;145;170;136;171;114;134;130
"ENSG00000162458|FBLIM1";2577;3285;2782;2426;2417;2917;2608;3059
"ENSG00000173641|HSPB7";475;828;720;612;433;641;473;618
"ENSG00000186510|CLCNKA";0;0;0;7;0;6;15;0
"ENSG00000184908|CLCNKB";38;41;17;53;62;60;43;43
"ENSG00000185519|FAM131C";102;85;58;96;89;70;111;101
"ENSG00000232456|FAM131C2P";0;9;9;0;24;13;13;19
"ENSG00000224621";0;0;0;0;0;0;0;0
"ENSG00000291077";39;69;16;45;70;59;55;42
"ENSG00000237276|ANO7L1";0;0;0;0;0;0;0;5
"ENSG00000270620";0;0;0;0;0;0;0;0
"ENSG00000116809|ZBTB17";953;1035;909;742;937;857;718;955
"ENSG00000234607";0;0;0;0;0;0;0;0
